MONTH,DAY,Date,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,CANCELLED,CANCELLATION_REASON,ID
1,1,1/1/15,2879,N5PBMQ,MAF,DFW,1,B,112879N5PBMQ
1,1,1/1/15,4369,N14514,BRO,IAH,1,B,114369N14514
1,1,1/1/15,3386,N642MQ,DFW,CLL,1,B,113386N642MQ
1,1,1/1/15,4189,N14558,MAF,IAH,1,C,114189N14558
1,1,1/1/15,3172,N633MQ,ORD,CID,1,A,113172N633MQ
1,1,1/1/15,3604,N939MQ,LAW,DFW,1,B,113604N939MQ
1,1,1/1/15,3653,N825MQ,TLH,DFW,1,B,113653N825MQ
1,1,1/1/15,1116,,DFW,EWR,1,A,111116
1,1,1/1/15,6456,N909SW,ICT,DEN,1,C,116456N909SW
1,1,1/1/15,3420,N628MQ,DFW,SPI,1,B,113420N628MQ
1,1,1/1/15,1286,N4XRAA,DFW,OMA,1,B,111286N4XRAA
1,1,1/1/15,1298,,PHL,ORD,1,A,111298
1,1,1/1/15,3584,N928MQ,SPS,DFW,1,B,113584N928MQ
1,1,1/1/15,2503,N905EV,BTR,DFW,1,A,112503N905EV
1,1,1/1/15,3453,N609MQ,DFW,SJT,1,B,113453N609MQ
1,1,1/1/15,1080,N005AA,EGE,ORD,1,A,111080N005AA
1,1,1/1/15,4264,N27962,STL,IAH,1,C,114264N27962
1,1,1/1/15,3232,N627MQ,AMA,DFW,1,B,113232N627MQ
1,1,1/1/15,3373,N856MQ,LEX,DFW,1,B,113373N856MQ
1,1,1/1/15,6413,N916SW,LIT,DEN,1,C,116413N916SW
1,1,1/1/15,523,,STL,PHX,1,A,11523
1,1,1/1/15,3124,N645MQ,ABI,DFW,1,B,113124N645MQ
1,1,1/1/15,3182,N646MQ,FSM,DFW,1,B,113182N646MQ
